,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
863,Dior,Sauvage,208.25,100,EDT,Men,Spicy,"Ambroxan, Cedar, Labdanum","Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Geranium, Patchouli, Elemi",4.6
864,CAROLINA HERRERA,212 Sexy,104.5,100,EDT,Men,Vanilla,"Sensual Oriental Character - Gaiac Wood, Sandalwood, Bourbon Vanilla, Musk, Amber","Subtle and Spicy Sensuality - Green Pepper, Floral Petal, Cardamom, Tonka Beans",4.2
865,GUCCI,Rush 2,361,50,EDT,Women,Floral,"Oakmoss, Musk, Black Currant","Lily, Gardenia, Plam Tree, Narcissus",4.4
866,BURBERRY,London,167.6,100,EDP,Women,Floral,"Sandalwood, Musk And Patchouli","Tiare Flower, Jasmine And Peony And Clementine Zest",4.8
867,HUGO BOSS,Femme,139.35,75,EDP,Women,Floral,"Apricot, Amber, Lemon Tree","Lily, Jasmine, Bulgarian Rose",4.8
868,Jean Paul GAULTIER,Scandal,354.95,80,EDP,Women,Floral,"Vanilla, Musk, And Labdanum","Tiare Flower, Jasmine, And Orange Blossom",4.5
869,ARMAND BASI,In Red,107.95,100,EDT,Women,Citrus,"Palisander Rosemary, Oakmoss, White Musk, Amber, Vanilla, Praline, Woody notes","Lily, Jasmine, Violet Leaf, Rose, Blackcurrant, Pink Pepper, Peony",4.5
870,VERSACE,Eros,202,100,EDT,Men,Arabian,"Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver, Oakmoss","Tonka Bean, Geranium, Ambroxan",4.5
871,Yves Saint Laurent,Manifesto,207.85,90,EDP,Women,Floral,"Cedar, Sandalwood, Vanilla, Tonka Bean","Lily-Of-The-Valley, Jasmine Sambac",3
872,GUCCI,Bloom,325.65,100,EDP,Women,Floral,Rangoon Creeper,Tuberose,4.6
873,GUCCI,Guilty,213.95,75,EDT,Women,Floral,Lily and Wild Strawberry,Litchi,4.8
874,GUCCI,Bloom,315.85,100,EDP,Women,Floral,Rangoon Creeper,Tuberose,4.2
875,VERSACE,Crystal Noir,172,90,EDP,Women,Floral and Oriental,"Sandalwood, Cashmeran, Vanilla Pod And Heliotropine","Tuberose, Frangipani And Jasmine Dry",4.4
876,HUGO BOSS,Boss The Scent,133,100,EDT,Men,Spicy,Leather,Maninka Fruit And Lavender,4.6
877,GUCCI,Bloom Nettare Di Fiori,329.85,100,EDP,Women,Floral,"Patchoulie, Musk, Schijnhulst","Tuberose, Honeysuckle, Jasmine",4.3
878,Givenchy,L'interdit,195.5,80,EDP,Women,Floral,Patchouli and Vetiver,"Tuberose, Jasmine and Orange Blossom",2.3
879,LACOSTE,L.12.12 Blanc,88,100,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,3.7
880,LACOSTE,Eau De lacoste,91.9,100,EDT,Men,Citrus,"Georgywood, Suede, Vetiver, Cedarwood","Tuberose, Olibanum, Ylang-Ylang",4.2
881,Geoffrey Beene,Grey Flannel,82.9,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","mimosa, iris, violet, sage, rose, geranium and Narcissus",5
882,Niya,Hawaiian Musk,49,100,EDP,Men,Woody,"Musk, Oakmoss, Vanilla","Moroccan Jasmine, Patchouli, Birch, Rose",4.5
883,Genie Collection,Premium,14.5,25,EDP,Unisex,Oriental,"Amber, Patchouli And Musk","Tuberose, Ylang-ylang And Jasmine",5
884,GUESS,Homme,98,100,EDT,Men,Spicy,"Patchouli, Sandalwood, Amber And Musk","Vanilla Orchid, Violet Leaves And Vetiver",4.4
885,DAVIDOFF,Zino,81.55,125,EDT,Men,Woody,"Tonka, Sandal, Amber, Cedar, Patchouli and Vanilla","Muguet, Rose, Jasmine and Geranium",3.4
886,Niya,Prive Maison Sandalwood,99,100,EDP,Men,Woody,"Sandalwood, Vanilla, Musk","Muguet, Violet, Tuberose",4.7
887,Lattafa,Ana Abiyedh Leather,47.9,60,EDP,Men,Musk,"Tonka Bean, Guaiac Wood","Vanilla, Cardamom, Saffron",4.6
888,Roberto Cavalli,Just Cavalli,101.95,90,EDT,Men,Woody,Leather,Vetiver,4.8
889,AVON,Tomorrow,70,50,EDP,Women,Floral,"Powdery, Floral, Woody, Balsamic, Rose",Musk,4.5
890,J.CASANOVA,Plaisir,75.75,100,EDP,Women,Oriental,Amber,Musk,4.8
891,Givenchy,Pour Homme,117.85,100,EDT,Men,Spicy,"Labdanum, Cedar","Vetiver, Lavender Extract",4.7
892,MONTBLANC,Emblem,146.6,100,EDT,Men,Spicy,"Tonka Bean, And Woody Notes",Violet Leaf And Cinnamon,4.4
893,BURBERRY,Burberry Body,164.35,85,EDP,Women,Fruity,"Woody Cashmeran, Creamy Vanilla, Amber And Musk.","Natural Rose Absolute, Iris And Warm Sandalwood.",4.8
894,Calvin Klein,CK One,98,200,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar and Oakmoss","Nutmeg, Violet, Orris Root, Jasmine, Lily-Of-The-Valley and Rose",4.5
895,MONTBLANC,Emblem Intense,127.5,100,EDT,Men,Spicy,"Patchouli, Tonka Beans, Velvet, Woody Notes","Violet Leaf, Apple, Rose, Cinnamon, Nutmeg",4.2
896,MONTBLANC,Emblem,146.55,100,EDT,Men,Spicy,"Woody Notes, Tonka Bean","Violet Leaf, Cinnamon",5
897,Bill Blass,Nude Natural Spray Colo,79.45,100,EDT,Women,Floral,"Sandalwood, Musk, Orris Root, Vetiver","Oakmoss, Jasmine, Ylang-Ylang, Rose, Narcissus",4.7
898,HUGO BOSS,Nuit,162,75,EDP,Women,Floral,"Sandalwood, Crystal Moss And Warm Woods","Violet, Jasmin And White Florals",4.8
899,Roberto Cavalli,Florence,154.95,75,EDP,Women,Floral,"Patchouli, Amber, Musk","Orange Blossom, Hibiscus Seed, Grapefruit Blossom",4.7
900,Elizabeth Taylor,White Diamonds,118.85,100,EDT,Women,Floral,"Oak Moss, Patchouli, Musk, Sandalwood and Amber","Violet, Rose, Jasmine and Ylang-Ylang,",4.3
901,DAVIDOFF,Adventure,79.6,100,EDT,Men,Woody,"Vetiver,Ceder,WhiteMusk",Warm Spices Of Wild Aromatic Black Sesame And South American Pimento,4.5
902,Givenchy,L'Interdit EDP For Wo,206.55,80,EDT,Women,Floral,"Vetiver, Patchouli, Ambroxan and Vanilla","Orange Blossom, Jasmine and Tuberose",4.9
903,Dolce & Gabbana,3 L'Imperatrice,156.75,100,EDT,Women,Floral,"Citrus Wood, Musks And Sandalwood","Watermelon, Cyclamen And Jasmine",4.6
904,Roberto,Paradiso Assoluto,127.65,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",4.5
905,CHLOE,Love Story,221.9,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood And Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant And Peach",4.3
906,Roberto Cavalli,Paradiso Assoluto,139,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",5
907,Ajmal,Sacrifice,75.9,50,EDP,Women,Floral,"Ambergris, Musk","Orange Blossom, Vanilla",4.2
908,Estee Lauder,Beautiful,181.2,75,EDP,Women,Floral,"Sandalwood, Vetiver and Amber","Orange Flower, Muguet, Jasmine and Ylang-Ylang",4.6
909,Roberto Cavalli,Paradiso Azzuro,175,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amberwood, Sandalwood","Wild Jasmine, Watery Notes, Apple, Peach and Rose Tuberose",4.7
910,Roberto Cavalli,Paradiso Azzurro,165,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7
911,Roberto Cavalli,Women,103,75,EDP,Women,Arabian,"Benzoin,Tonka Beans,Vanilla",Orange Tree Blossom,5
912,GUESS,Dare,75,100,EDT,Women,Citrus,"Coconut Accords, Wood, Musk","Wild Rose, Elegant Jasmine",4.9
913,Dunhill,Desire Blue,68,100,EDT,Men,Fresh,"Tonka Bean, Musk, Amber And, Benzoin","Orange, Brazilian Rosewood And, Sea Notes",4.3
914,BURBERRY,For Women EDP Natural Sp,153.75,100,EDP,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8
915,NINA RICCI,Premier Jour,136.45,100,EDP,Women,Fruity,"Sandalwood, Musk, Vanilla, Woodsy Notes","Orchid, Gardenia",4.7
916,JOVAN,Musk Cologne Sp,19,59,EDT,Women,Woody,"Musk, Amber, Wood",Ylang-ylang,4.7
917,LACOSTE,L.12.12 Blanc-Pure,94.2,100,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver","Ylang-Ylang, Tuberose",4.6
918,HUGO BOSS,The Scent,155,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5
919,DAVIDOFF,Adventure,219,100,EDT,Men,Woody,"Vetiver,Ceder,WhiteMusk",Warm Spices Of Wild Aromatic Black Sesame And South American Pimento,4.5
920,PACO RABANNE,Olymp?a Intense,166.9,80,EDP,Women,Floral,"Ambergris, Cashmere wood and Sandalwood","Paco Rabanne Olympea, Vanilla and Salt",4.8
921,Dolce & Gabbana,3 L'Imperatrice,300,100,EDT,Women,Floral,"Citrus Wood, Musks And Sandalwood","Watermelon, Cyclamen And Jasmine",4.6
922,Mancera,Red Tobacco,340,120,EDP,Men,Woody,"Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods and White Musk","Patchouli Leaves, Jasmine",4.7
923,Lattafa,Oud Mood,42.55,100,EDP,Unisex,Woody,"Musk, Incense, Amber, Resin, Woody","Patchouli, Caramel, Agarwood",4.6
924,Roberto,Paradiso Assoluto,515,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",4.5
925,Roberto Cavalli,Paradiso Assoluto,515,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",5
926,GUCCI,Guilty Absolute,230,90,EDP,Men,Woody,"Woody Notes, Vetiver","Patchouli, Cypress",4.1
927,VERSACE,Bright Crystal,169.95,90,EDT,Women,Floral,"Amber, Musk, Mahogany","Peony,Lotus, Magnolia",4.8
928,Roberto Cavalli,Paradiso Azzuro,499,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amberwood, Sandalwood","Wild Jasmine, Watery Notes, Apple, Peach and Rose Tuberose",4.7
929,Dunhill,Custom,89.85,100,EDT,Men,Floral,"Virginia Cedar, Incense",Pepper,4.3
930,Roberto Cavalli,Paradiso Azzurro,499,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7
931,GUESS,Dare,75,100,EDT,Women,Citrus,"Coconut Accords, Wood, Musk","Wild Rose, Elegant Jasmine",4.9
932,DAVIDOFF,Hot Water,76.95,110,EDT,Men,Arabian,"Styrax, Benzoin",Pimento and Patchouli,4.6
933,BURBERRY,For Women EDP Natural Sp,153.75,100,EDP,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8
934,Dolce & Gabbana,K,269,100,EDT,Men,Woody,"Blood Orange, Pressed Sicilian Lemon And Juniper Berries","Pimento, Clary Sage, Geranium And Lavandin",4.1
935,JOVAN,Musk Cologne Sp,19,59,EDT,Women,Woody,"Musk, Amber, Wood",Ylang-ylang,4.7
936,Dolce & Gabbana,K,14.1,100,EDT,Men,Aromatic,"Woody, Masculine, Cedarwood, Vetiver, Patchouli Accords","Pimento, Clary Sage, Geranium, Lavandin",3
937,LACOSTE,L.12.12 Blanc-Pure,94.2,100,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver","Ylang-Ylang, Tuberose",4.6
938,TED LAPIDUS,Pour Homme,44.45,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5
939,HUGO BOSS,Bottled Unlimited,126,100,EDT,Men,Vanilla,Sandalwood And Musk,Pineapple And Rose,4.4
940,GIORGIO ARMANI,Stronger With You,170,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5
941,HUGO BOSS,Ma Vie,137.55,75,EDP,Women,Floral,Cedar and Woody Notes,"Pink Freesia, Jasmine and Rose",4.7
942,DORALL COLLECTION,Pink Hearts,8.15,100,EDT,Women,Floral,"Caramel, Musk, Tonka, Sandalwood And Vanilla","Red Berries, Lily Of The Valley, Licorice, Cotton Candy And Strawberry",4.4
943,Givenchy,Xeryus Rouge,214.4,100,EDT,Men,Woody,Cedar Wood,Red Pepper,4.8
944,Dolce & Gabbana,The Only One 2,137.9,100,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",4.3
945,TESORI D¢¥ORIENTE,White Musk,39.95,100,EDT,Men,Woody,"Aldehyde, Jasmine, White Flowers",Rose,4.2
946,Mancera,Roses Vanille,248.8,120,EDP,Women,Arabian,"Cedar, Vanilla, Sugar, White Musk",Rose and Sugar,5
947,BURBERRY,My Blush,181,50,EDP,Women,Arabian,"Jasmine,Wisteria","Rose Petals, Green Apple and Geranium",4.6
948,BURBERRY,My Burberry Blush,199.9,90,EDP,Women,Arabian,Jasmine and Wisteria,"Rose petals, Green apple and Geranium",4.5
949,Guerlain,L'Instant Magic,422,100,EDP,Women,Woody,"Wood, Almond","Rose, Freesia",4.7
950,Dunhill,London,109.65,75,EDT,Men,Arabian,"Patchouli, Sandalwood, Tonka Bean, Vanilla And Musk","Rose, Geranium And Jasmine",3.4
951,BURBERRY,Body Mini ED,23,5,EDT,Women,Woody,"Sandalwood, Cashmerean, Musk, Amber, Vanilla","Rose, Iris",1
952,TRI,En Joy,9.9,100,EDT,Women,Floral,"Sandalwood, Cedar, Patchoulli, Musk, Benzoin","Rose, Jasmine, Cassis, Peach",4.1
953,Mancera,Rose Greedy,269,120,EDP,Unisex,"Rose, Floral","White Musk, Amber, Vanilla, Sugar","Rose, Jasmine, Flowers",4.5
954,DORALL COLLECTION,Oud Maaruf,11.49,100,EDT,Men,Arabian,"Sandalwood, musk, woody - amber, patchouli, oudh, dry woody-amber, amber","Rose, raspberry, dried fruits, ylang, geranium, jasmin, orris, muguet, saffron",4
955,BURBERRY,Burberry Body Intense,152.45,60,EDP,Women,Fruity,"Cashmere Wood, Amber, Vanille, Musk","Rose, Sandalwood, Iris",4.6
956,Mancera,Roses Vanille,285,120,EDP,Women,Arabian,"Cedar, Vanilla, Sugar, White Musk","Rose, Sugar",4.9
957,Mancera,Roses Vanille,239.95,120,EDP,Women,Arabian,"Vanilla, Sugar, White Musk, Cedar","Rose, Sugar",4.7
958,Dunhill,Desire,84.25,100,EDT,Men,Fresh,"Vanilla, Musk","Rose, Teak Wood, Patchouli",4.5
959,Parfums Gres,Cabotine,75,100,EDT,Women,Floral,"Cedarwood, Vanilla, Tonka Bean, Cybet, Musk And Amber","Rose, Tuberose, Ylang-Ylang, Ginger Lily, Hyacinth, Heliotrope, Freesia, Violet And Iris",4.8
960,Alina Corel,Monsieur Oud,30.95,100,EDP,Unisex,Musk,"Cedar, Musk","Rose, Water",4.5
961,GIORGIO ARMANI,Si Passione EDP For Wo,235.45,100,EDP,Women,Floral,"Cedar,Vanilla,Patchouli","Rose,Jasmine,Heliotrope,Pineapple",5
962,Yves Saint Laurent,Kouros Silver,190,100,EDT,Men,Fruity,Amber and Woody Notes,Sage,4.5
963,Dior,Sauvage Perf,326.4,100,EDT,Men,Floral,"Tonka Bean, Vanilla and Olibanum",Sandalwood,3
964,DAVIDOFF,Cool Water,71.75,75,EDT,Men,Aromatic,"Musk, Oakmoss, Cedar, Amber","Sandalwood, Geranium, Neroli, Jasmine",4.1
965,DAVIDOFF,Cool Water,85.5,125,EDT,Men,Fresh,"Musk, Oakmoss, Cedar, Tobacco, and Amber","Sandalwood, Jasmine, Neroli, and Geranium",3.7
966,BVLGARI,Aqva Marine Pour Homme,163.95,100,EDT,Men,Citrus,"Virginia Cedar, Amber","Seaweed, Rosemary, Water Notes",4.8
967,Dior,Sauvage,208.25,100,EDT,Men,Spicy,"Ambroxan, Cedar, Labdanum","Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Geranium, Patchouli, Elemi",4.6
968,GUESS,Marciano,80.7,100,EDT,Men,Spicy,Woody And Spicy,"Spicy, Lavenday And Sage",4.7
969,GIORGIO ARMANI,Armani Code,280.1,125,EDT,Men,Citrus,"Leather, Tobacco And Tonka Bean","Star Anise, Olive Blossom And Guaiac Wood",2
970,CAROLINA HERRERA,212 Sexy,104.5,100,EDT,Men,Vanilla,"Sensual Oriental Character - Gaiac Wood, Sandalwood, Bourbon Vanilla, Musk, Amber","Subtle and Spicy Sensuality - Green Pepper, Floral Petal, Cardamom, Tonka Beans",4.2
971,BVLGARI,Petits Et Mamans,193.95,100,EDT,Women,Floral,"Iris, Vanilla, White Peach, Powdery Notes","Sunflower, Chamomile, Rose",4.8
972,Justcavalli,Just Cavalli,131.4,75,EDT,Women,Floral,Cuddly And Creamy Rosewood,Tahitian Tiare Flowers,4.6
973,Jean Paul GAULTIER,Scandal,354.95,80,EDP,Women,Floral,"Vanilla, Musk, And Labdanum","Tiare Flower, Jasmine, And Orange Blossom",4.5
974,GUCCI,Bloom Aqua Di Fiori,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7
975,GUCCI,Bloom,325.65,100,EDP,Women,Floral,Rangoon Creeper,Tuberose,4.6
976,VERSACE,Crystal Noir,172,90,EDP,Women,Floral and Oriental,"Sandalwood, Cashmeran, Vanilla Pod And Heliotropine","Tuberose, Frangipani And Jasmine Dry",4.4
977,GUCCI,Bloom Nettare Di Fiori,329.85,100,EDP,Women,Floral,"Patchoulie, Musk, Schijnhulst","Tuberose, Honeysuckle, Jasmine",4.3
978,Givenchy,L'interdit,195.5,80,EDP,Women,Floral,Patchouli and Vetiver,"Tuberose, Jasmine and Orange Blossom",2.3
979,CAROLINA HERRERA,Good Girl,168,80,EDP,Women,Arabian,"Tonka Bean, Cocoa","Tuberose, Jasmine Sambac",4.1
980,Genie Collection,Premium,14.5,25,EDP,Unisex,Oriental,"Amber, Patchouli And Musk","Tuberose, Ylang-ylang And Jasmine",5
981,Rasasi,Oud Al-Mubakhar,30.85,100,EDP,Men,Arabian,"Sandalwood, Tonka Bean, Musk, Patchouli","Turkish Rose, Violet, Geranium",4
982,Roberto Cavalli,Nero Assoluto,129.55,75,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,5
983,Roberto Cavalli,Nero Assoluto,105,75,EDP,Women,Arabian,"Ebony, Woody Notes",Vanilla,4.6
984,GUESS,Homme,98,100,EDT,Men,Spicy,"Patchouli, Sandalwood, Amber And Musk","Vanilla Orchid, Violet Leaves And Vetiver",4.4
985,Lattafa,Ana Abiyedh Leather,47.9,60,EDP,Men,Musk,"Tonka Bean, Guaiac Wood","Vanilla, Cardamom, Saffron",4.6
986,Roberto Cavalli,Just Cavalli,101.95,90,EDT,Men,Woody,Leather,Vetiver,4.8
987,HUGO BOSS,Bottled Night,250,200,EDT,Men,Woody,"Musk, Woody Notes",Violet,4.5
988,MONTBLANC,Emblem,146.6,100,EDT,Men,Spicy,"Tonka Bean, And Woody Notes",Violet Leaf And Cinnamon,4.4
989,MONTBLANC,Emblem,146.55,100,EDT,Men,Spicy,"Woody Notes, Tonka Bean","Violet Leaf, Cinnamon",5
990,HUGO BOSS,Nuit,162,75,EDP,Women,Floral,"Sandalwood, Crystal Moss And Warm Woods","Violet, Jasmin And White Florals",4.8
991,Elizabeth Taylor,White Diamonds,118.85,100,EDT,Women,Floral,"Oak Moss, Patchouli, Musk, Sandalwood and Amber","Violet, Rose, Jasmine and Ylang-Ylang,",4.3
992,Marc Jacobs,Daisy Eau So Fresh,179.4,125,EDT,Women,Fruity,"Musk, Plum, Cedarwood","Violet, Wild Rose, Apple Blossom, Lychee, Jasmine Petals",5
993,CARTIER,Pasha Edition Noir,198.55,100,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,4.6
994,MONTBLANC,Legend Spirit,140,100,EDT,Men,Citrus,"White Musk, White Woods, Cashmere Wood, Oakmoss","Water Notes, Lavender, Cardamom",4.7
995,BVLGARI,Petits Et Mamans,197.75,100,EDT,Women,Floral,Iris and Vanilla,White Peach,4.8
996,Roberto Cavalli,Paradiso Assoluto,139,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",5
997,Roberto Cavalli,Paradiso Azzurro,165,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7
998,GUESS,Dare,75,100,EDT,Women,Citrus,"Coconut Accords, Wood, Musk","Wild Rose, Elegant Jasmine",4.9
999,BURBERRY,For Women EDP Natural Sp,153.75,100,EDT,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8
1000,JOVAN,Musk Cologne Sp,19,59,EDT,Women,Woody,"Musk, Amber, Wood",Ylang-ylang,4.7
1001,SWISS ARABIAN,Layali CPO At,77,15,EDT,Unisex,Arabian,Agarwood and Amber,"Ylang-Ylang, Rose and Jasmine",4
1002,LACOSTE,L.12.12 Blanc-Pure,94.2,100,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver","Ylang-Ylang, Tuberose",4.6
